The mom sees.	The sees mom.
The girl sees.	The sees girl.
The person sees.	The sees person.
The cat sees.	The sees cat.
The guy sees.	The sees guy.
The animal sees.	The sees animal.
The horse sees.	The sees horse.
The bird sees.	The sees bird.
The duck sees.	The sees duck.
The kitty sees.	The sees kitty.
The dad sees.	The sees dad.
The cow sees.	The sees cow.
The elephant sees.	The sees elephant.
The bunny sees.	The sees bunny.
The chicken sees.	The sees chicken.
The dinosaur sees.	The sees dinosaur.
The mouse sees.	The sees mouse.
The lady sees.	The sees lady.
The monkey sees.	The sees monkey.
The caterpillar sees.	The sees caterpillar.
The puppy sees.	The sees puppy.
The rabbit sees.	The sees rabbit.
The lion sees.	The sees lion.
The bee sees.	The sees bee.
The snake sees.	The sees snake.
The sheep sees.	The sees sheep.
The tiger sees.	The sees tiger.
The turtle sees.	The sees turtle.
The monster sees.	The sees monster.
The owl sees.	The sees owl.
The spider sees.	The sees spider.
The zebra sees.	The sees zebra.
The kangaroo sees.	The sees kangaroo.
The giraffe sees.	The sees giraffe.
The dragon sees.	The sees dragon.
The turkey sees.	The sees turkey.
The donkey sees.	The sees donkey.
The uncle sees.	The sees uncle.
The woman sees.	The sees woman.
The goose sees.	The sees goose.
The mom looks.	The looks mom.
The girl looks.	The looks girl.
The person looks.	The looks person.
The cat looks.	The looks cat.
The guy looks.	The looks guy.
The animal looks.	The looks animal.
The horse looks.	The looks horse.
The bird looks.	The looks bird.
The duck looks.	The looks duck.
The kitty looks.	The looks kitty.
The dad looks.	The looks dad.
The cow looks.	The looks cow.
The elephant looks.	The looks elephant.
The bunny looks.	The looks bunny.
The chicken looks.	The looks chicken.
The dinosaur looks.	The looks dinosaur.
The mouse looks.	The looks mouse.
The lady looks.	The looks lady.
The monkey looks.	The looks monkey.
The caterpillar looks.	The looks caterpillar.
The puppy looks.	The looks puppy.
The rabbit looks.	The looks rabbit.
The lion looks.	The looks lion.
The bee looks.	The looks bee.
The snake looks.	The looks snake.
The sheep looks.	The looks sheep.
The tiger looks.	The looks tiger.
The turtle looks.	The looks turtle.
The monster looks.	The looks monster.
The owl looks.	The looks owl.
The spider looks.	The looks spider.
The zebra looks.	The looks zebra.
The kangaroo looks.	The looks kangaroo.
The giraffe looks.	The looks giraffe.
The dragon looks.	The looks dragon.
The turkey looks.	The looks turkey.
The donkey looks.	The looks donkey.
The uncle looks.	The looks uncle.
The woman looks.	The looks woman.
The goose looks.	The looks goose.
The mom knows.	The knows mom.
The girl knows.	The knows girl.
The person knows.	The knows person.
The cat knows.	The knows cat.
The guy knows.	The knows guy.
The animal knows.	The knows animal.
The horse knows.	The knows horse.
The bird knows.	The knows bird.
The duck knows.	The knows duck.
The kitty knows.	The knows kitty.
The dad knows.	The knows dad.
The cow knows.	The knows cow.
The elephant knows.	The knows elephant.
The bunny knows.	The knows bunny.
The chicken knows.	The knows chicken.
The dinosaur knows.	The knows dinosaur.
The mouse knows.	The knows mouse.
The lady knows.	The knows lady.
The monkey knows.	The knows monkey.
The caterpillar knows.	The knows caterpillar.
The puppy knows.	The knows puppy.
The rabbit knows.	The knows rabbit.
The lion knows.	The knows lion.
The bee knows.	The knows bee.
The snake knows.	The knows snake.
The sheep knows.	The knows sheep.
The tiger knows.	The knows tiger.
The turtle knows.	The knows turtle.
The monster knows.	The knows monster.
The owl knows.	The knows owl.
The spider knows.	The knows spider.
The zebra knows.	The knows zebra.
The kangaroo knows.	The knows kangaroo.
The giraffe knows.	The knows giraffe.
The dragon knows.	The knows dragon.
The turkey knows.	The knows turkey.
The donkey knows.	The knows donkey.
The uncle knows.	The knows uncle.
The woman knows.	The knows woman.
The goose knows.	The knows goose.
The mom says.	The says mom.
The girl says.	The says girl.
The person says.	The says person.
The cat says.	The says cat.
The guy says.	The says guy.
The animal says.	The says animal.
The horse says.	The says horse.
The bird says.	The says bird.
The duck says.	The says duck.
The kitty says.	The says kitty.
The dad says.	The says dad.
The cow says.	The says cow.
The elephant says.	The says elephant.
The bunny says.	The says bunny.
The chicken says.	The says chicken.
The dinosaur says.	The says dinosaur.
The mouse says.	The says mouse.
The lady says.	The says lady.
The monkey says.	The says monkey.
The caterpillar says.	The says caterpillar.
The puppy says.	The says puppy.
The rabbit says.	The says rabbit.
The lion says.	The says lion.
The bee says.	The says bee.
The snake says.	The says snake.
The sheep says.	The says sheep.
The tiger says.	The says tiger.
The turtle says.	The says turtle.
The monster says.	The says monster.
The owl says.	The says owl.
The spider says.	The says spider.
The zebra says.	The says zebra.
The kangaroo says.	The says kangaroo.
The giraffe says.	The says giraffe.
The dragon says.	The says dragon.
The turkey says.	The says turkey.
The donkey says.	The says donkey.
The uncle says.	The says uncle.
The woman says.	The says woman.
The goose says.	The says goose.
The mom comes.	The comes mom.
The girl comes.	The comes girl.
The person comes.	The comes person.
The cat comes.	The comes cat.
The guy comes.	The comes guy.
The animal comes.	The comes animal.
The horse comes.	The comes horse.
The bird comes.	The comes bird.
The duck comes.	The comes duck.
The kitty comes.	The comes kitty.
The dad comes.	The comes dad.
The cow comes.	The comes cow.
The elephant comes.	The comes elephant.
The bunny comes.	The comes bunny.
The chicken comes.	The comes chicken.
The dinosaur comes.	The comes dinosaur.
The mouse comes.	The comes mouse.
The lady comes.	The comes lady.
The monkey comes.	The comes monkey.
The caterpillar comes.	The comes caterpillar.
The puppy comes.	The comes puppy.
The rabbit comes.	The comes rabbit.
The lion comes.	The comes lion.
The bee comes.	The comes bee.
The snake comes.	The comes snake.
The sheep comes.	The comes sheep.
The tiger comes.	The comes tiger.
The turtle comes.	The comes turtle.
The monster comes.	The comes monster.
The owl comes.	The comes owl.
The spider comes.	The comes spider.
The zebra comes.	The comes zebra.
The kangaroo comes.	The comes kangaroo.
The giraffe comes.	The comes giraffe.
The dragon comes.	The comes dragon.
The turkey comes.	The comes turkey.
The donkey comes.	The comes donkey.
The uncle comes.	The comes uncle.
The woman comes.	The comes woman.
The goose comes.	The comes goose.
The mom thinks.	The thinks mom.
The girl thinks.	The thinks girl.
The person thinks.	The thinks person.
The cat thinks.	The thinks cat.
The guy thinks.	The thinks guy.
The animal thinks.	The thinks animal.
The horse thinks.	The thinks horse.
